source	target	category	domain	source_tag	status	scope	notes
armours	护甲	T.GAME.ENTITY	items	nil	existing	core	复数实体类别
mainhand	主手	T.GAME.ENTITY	items	nil	existing	core	
offhand	副手	T.GAME.ENTITY	items	nil	existing	core	
weapons	武器	T.GAME.ENTITY	items	nil	existing	core	
armor	护甲	T.GAME.ENTITY	items	entity type	existing	global	
ammo	弹药	T.GAME.ENTITY	items	entity type	existing	core	
book	书	T.GAME.ENTITY	items	entity type	existing	global	
charm	护符	T.GAME.ENTITY	items	entity type	existing	global	
potion	药水	T.GAME.ENTITY	items	entity type	existing	global	
scroll	卷轴	T.GAME.ENTITY	items	entity type	existing	global	
weapon	武器	T.GAME.ENTITY	items	entity type	existing	global	与复数 weapons 区分
steamgun	蒸汽枪	T.GAME.ENTITY	items	entity subtype	existing	dlc	
staff	法杖	T.GAME.ENTITY	items	entity subtype	existing	global	
tome	书册	T.GAME.ENTITY	items	entity subtype	existing	global	
light	轻甲	T.GAME.ENTITY	items	entity subtype	preferred	core	护甲材质子类（armor/light，45 处）与光元素/光球（elemental/orb/light，2 处）共享同一运行时键 （引擎 _t(subtype,entity subtype) 不带 type 参数）；按多数与物品分类 UI 裁决为“轻甲”，wisp 等光类实体提示显示“元素 / 轻甲”为已知局限
Spellblaze Crystal	魔法大爆炸水晶	T.GAME.ENTITY	items	entity name	existing	core	任务目标与实体名称统一
Choker of Dread	噩灵护符	T.GAME.ENTITY	items	entity name	preferred	core	与 Dread 实体名称保持一致
Infusion of Wild Growth	纹身：野性生长	T.GAME.ENTITY	items	entity name	preferred	core	与 Wild Growth 技能名统一
wild infusion	野性纹身	T.GAME.ENTITY	items	entity name	preferred	core	物品实体名称；与 Wild infusion 技能名统一
acid wave rune	酸浪符文	T.GAME.ENTITY	items	entity name	preferred	core	物品实体名称；与 Acid Wave 技能名统一
biting gale rune	冰风符文	T.GAME.ENTITY	items	entity name	preferred	core	物品实体名称；与 Biting Gale 技能名统一
manasurge rune	法力涌动符文	T.GAME.ENTITY	items	entity name	preferred	core	物品实体名称；与 Manasurge 技能名统一
tinker	蒸汽工具	T.GAME.ENTITY	items	entity type	existing	dlc	Embers of Rage 实体类型
flesh	肉	T.GAME.ENTITY	items	entity type	existing	dlc	Embers of Rage 实体类型
steamsaw	蒸汽链锯	T.GAME.ENTITY	items	entity subtype	existing	dlc	Embers of Rage 实体子类型
