source	target	category	domain	source_tag	status	scope	notes
Orc Pride	兽人部落	T.PN.FACTION	society	nil	existing	core	
Allied Kingdoms	联合王国	T.PN.FACTION	society	nil	existing	core	
Dwarven Empire	矮人帝国	T.PN.FACTION	society	nil	preferred	core	矮人政权专名；统一种族技能、出生背景、城市说明与实体称谓，不与 Lost Dwarven Kingdom 的“矮人王国”混用
The Way	维网	T.PN.FACTION	society	nil	existing	core	
Brotherhood of Alchemists	炼金术士兄弟会	T.PN.FACTION	society	nil	preferred	core	炼金术士组织专名；任务标题、说明与对话统一使用“炼金术士”，不用“炼金术师”
Sanctuary of Horrors	恐魔庇护所	T.PN.FACTION	society	faction name	existing	dlc	Cults of Entropy 阵营
Kruk Pride	克鲁克部落	T.PN.FACTION	society	faction name	existing	dlc	Embers of Rage 阵营
Free Whitehooves	自由白蹄	T.PN.FACTION	society	faction name	existing	dlc	Embers of Rage 阵营
Whitehooves	白蹄	T.PN.FACTION	society	faction name	existing	dlc	Embers of Rage 阵营
Kar'Haïb Dominion	卡尔·亥巴巨魔帝国	T.PN.FACTION	society	faction name	existing	dlc	Embers of Rage 阵营
Atmos Tribe	气之部族	T.PN.FACTION	society	faction name	preferred	dlc	Embers of Rage 阵营专名；统一为“气之部族”（叙事文本曾作“气之部落”），与气之部族 NPC/叙事一致
The Shunned Kruk	遭排斥的克鲁克部族	T.PN.FACTION	society	_t	preferred	dlc	Embers of Rage 克鲁克部族史手札标题；Shunned 表示遭其他兽人部族排斥，并非主动隐逸
The Shunned Kruk	遭排斥的克鲁克部族	T.PN.FACTION	society	entity name	preferred	dlc	同名手札实体；与手札标题统一
Marus of Elvala	埃尔瓦拉的马鲁斯	T.PN.PERSON	society	nil	existing	core	
Ungrol of Last Hope	最后的希望城的温格洛	T.PN.PERSON	society	nil	preferred	core	最后的希望城炼金术师；统一独立名称与墓地任务中的称呼
Tannen	泰恩	T.PN.PERSON	society	entity name	preferred	core	最后的希望城法师与传送门研究者；统一实体名、任务说明和对话中的称呼
High Sun Paladin Aeryn	高阶太阳骑士艾琳	T.PN.PERSON	society	_t	preferred	core	太阳堡垒领袖的完整头衔；统一任务标题和叙事中的称呼，不省略“高阶”
High Sun Paladin Aeryn	高阶太阳骑士艾琳	T.PN.PERSON	society	entity name	preferred	core	太阳堡垒领袖实体名；与任务及对话中的完整头衔统一
High Sun Paladin Aeryn	高阶太阳骑士艾琳	T.PN.PERSON	society	logPlayer	preferred	core	太阳堡垒领袖在玩家日志中的完整头衔
Blood Master	血之领主	T.PN.PERSON	society	_t	preferred	core	鲜血之环的奴隶贩子首领；统一成就与任务叙述，不写作“鲜血领主/血色领主”
Blood Master	血之领主	T.PN.PERSON	society	log	preferred	core	鲜血之环任务机制日志中的首领称呼
Blood Master	血之领主	T.PN.PERSON	society	logPlayer	preferred	core	鲜血之环奖励日志中的首领称呼
Blood Master	血之领主	T.PN.PERSON	society	entity name	preferred	core	鲜血之环首领实体名
High Sun Paladin Aeryn	太阳骑士艾琳	T.PN.PERSON	society	entity name	existing	core	
Limmir the Jeweler	珠宝匠利米尔	T.PN.PERSON	society	entity name	existing	core	
Melinda	梅琳达	T.PN.PERSON	society	entity name	existing	core	
Argoniel	艾格尼尔	T.PN.PERSON	society	entity name	existing	core	
Lady Zoisla the Tidebringer	潮汐使者佐西拉夫人	T.PN.PERSON	society	entity name	preferred	core	Tidebringer 统一译作“潮汐使者”
Epoch	亚伯契	T.PN.PERSON	society	nil	preferred	core	时空位面具名实体专名；同名天赋及神器 Epoch's Curve 均沿用音译，不按普通名词“纪元”处理
Norgos	诺尔格斯	T.PN.PERSON	society	entity name	preferred	core	自然精灵开场的守护巨熊；统一巢穴、任务、实体名及人物代词
Tantalos	坦塔洛斯	T.PN.PERSON	society	entity name	preferred	dlc	气之部族首席议员；统一书信署名、叙事引用与实体名，不写作“坦塔罗斯”
Gerlyk	盖里克	T.PN.PERSON	society	_t	preferred	core	人类造物主专名；统一巅峰剧情、虚空任务及创世传说，不写作“加莱克”
Scourge from the West	西方天灾	T.PN.PERSON	society	_t	preferred	dlc	Embers of Rage 中的个体（女性）；统一为“西方天灾”，不写作“灾星”
Keeper of Reality	现实守护者	T.PN.FACTION	society	_t	preferred	core	时空行者的守护者组织成员；Grand Keeper of Reality 对应 现实至高守护者（mod-tome.lua 既有用法）
Wayist	维网信徒	T.PN.FACTION	society	_t	preferred	core	遵循维网（The Way）的夺心魔；与 The Way=维网 对应
Ziguranth	伊格兰斯	T.PN.FACTION	society	nil	preferred	core	反魔教团专名（全称）；与其据点地名 Zigur「伊格」同源且紧密关联，但指称不同：固定源码 624a673 同一句写作 “The defenders of Zigur were crushed, the Ziguranth scattered and weakened.”，Zigur 是被攻陷的据点，Ziguranth 是被打散的教团。教团／人群用「伊格兰斯」，地点用「伊格」，两者不得互换（b23 曾把「去伊格训练」误作「伊格兰斯」）。
