source	target	category	domain	source_tag	status	scope	notes
cave	山洞	T.GAME.ENTITY	places	entity subtype	existing	global	
Armoury	护甲店	T.GAME.ENTITY	places	entity name	existing	core	城镇商店实体
Herbalist	草药馆	T.GAME.ENTITY	places	entity name	existing	core	城镇商店实体
Library	图书馆	T.GAME.ENTITY	places	entity name	existing	core	城镇实体
Runemaster	大师符文店	T.GAME.ENTITY	places	entity name	existing	core	城镇商店实体
Swordsmith	长剑铁匠铺	T.GAME.ENTITY	places	entity name	existing	core	城镇商店实体
Tanner	皮革店	T.GAME.ENTITY	places	entity name	existing	core	城镇商店实体
Tailor	裁缝店	T.GAME.ENTITY	places	entity name	existing	core	城镇商店实体
rockwall	岩石墙	T.GAME.ENTITY	places	entity type	existing	dlc	Embers of Rage 实体类型
exit to the worldmap	通往世界地图的出口	T.GAME.ENTITY	places	entity name	preferred	dlc	Embers of Rage 区域出口网格；使用名词性实体名，不写作动作提示“离开前往世界地图”
primal trunk	原始树干	T.GAME.ENTITY	places	entity name	preferred	dlc	Embers of Rage 原始森林网格实体；trunk 指树干，不泛化为整棵“树木”
primal trunk	原始树干	T.GAME.ENTITY	places	entity subtype	preferred	dlc	同名网格子类型；与实体名统一
cracks	裂缝	T.GAME.ENTITY	places	entity subtype	preferred	dlc	地面裂缝的实体子类型；与 dug rubble“挖出的碎石”区分
Spacetime Tear	时空裂口	T.GAME.ENTITY	places	_t	preferred	core	时空异常生成的裂口实体及关闭日志所指对象；与 space-time rift“时空裂隙”区分
next level	前往下一层	T.GAME.ENTITY	places	entity name	preferred	global	楼梯/出口提示（19 处）
previous level	前往上一层	T.GAME.ENTITY	places	entity name	preferred	global	楼梯/出口提示（18 处）
way to the next level	通往下一层的路	T.GAME.ENTITY	places	entity name	preferred	global	出口/通道提示（12 处，与 ladder to the next level 梯子区分）
way to the previous level	通往上一层的路	T.GAME.ENTITY	places	entity name	preferred	global	出口/通道提示（12 处，与 ladder to the previous level 梯子区分）
Angolwen	安格利文	T.PN.PLACE	places	nil	existing	core	现有译文另有“安格列文”写法，需统一
Dreadfell	恐惧王座	T.PN.PLACE	places	nil	existing	core	
Gates of Morning	晨曦之门	T.PN.PLACE	places	_t	existing	core	
Island of Rel	瑞尔岛	T.PN.PLACE	places	_t	preferred	core	核心地点专名；统一世界地图、通道入口及夺心魔相关叙述
Iron Council	钢铁议会	T.PN.PLACE	places	_t	preferred	core	矮人帝国主城及统治机构专名；与 Iron Throne“钢铁王座”区分
Last Hope	最后的希望	T.PN.PLACE	places	_t	existing	core	
Point Zero	零点圣域	T.PN.PLACE	places	_t	preferred	core	时空守卫的大本营；统一地点、传送效果、阵营与任务文本中的称呼，不写作“零点圣城”
Trollmire	食人魔沼泽	T.PN.PLACE	places	_t	existing	core	任务与地点叙述统一；“Of trolls and damp caves”是任务标题，不作同名处理
Scintillating Caves	闪光洞穴	T.PN.PLACE	places	_t	preferred	core	核心地点名；与手札分类及正文保持一致
Yiilkgur	伊克格	T.PN.PLACE	places	_t	preferred	core	夏·图尔要塞本名；不是激活要塞的施动者
Zigur	伊格	T.PN.PLACE	places	nil	existing	core	
Temporal Rift	时空裂隙	T.PN.PLACE	places	entity name	existing	global	时空异常地点
Sunwall mountain	太阳堡垒群山	T.PN.PLACE	places	entity name	existing	core	
Gates of Morning (Town)	晨曦之门（城镇）	T.PN.PLACE	places	entity name	existing	core	与 Gates of Morning 地点标签区分
Occult Egress	神秘的出口	T.PN.PLACE	places	entity name	existing	core	
Kruk Pride (Town)	克鲁克部落（城镇）	T.PN.PLACE	places	entity name	existing	dlc	Embers of Rage 城镇地点
Anteroom of Agony	痛苦前厅	T.PN.PLACE	places	_t	preferred	dlc	Ashes of Urh'Rok 区域名；Anteroom 指前厅，不译作“痛苦之屋”
Dungeon of Adventurer Enlightenment	冒险者启蒙地下城	T.PN.PLACE	places	_t	preferred	core	战斗机制教程区域；统一任务、入口、楼层说明及完成提示
ritch tunnels	里奇通道	T.PN.PLACE	places	_t	preferred	core	夺心魔开场任务区域；ritch 指里奇虫族，不漏译隧道目标
Pocket of Time	扭曲时间之隙	T.PN.PLACE	places	entity name	preferred	dlc	Embers of Rage 特殊遭遇区域；与同区手札类别 pocket of distorted time 的既有译名统一
Caves of Morning (%d)	晨曦洞穴（%d）	T.PN.PLACE	places	tformat	preferred	dlc	晨曦之门地下区域的层级标题；与 Gates of Morning“晨曦之门”区分
Heart of the Gloom	黑暗之心	T.PN.PLACE	places	_t	preferred	core	自然精灵出生区地点名；统一区域名、入口与任务文本，不写作“黑暗中心”
Sandworm Lair	沙虫巢穴	T.PN.PLACE	places	_t	preferred	core	沙虫女王所在地点；统一任务目标和方位说明，不写作“沙虫洞穴”
Ritch Hive	里奇巢穴	T.PN.PLACE	places	entity name	preferred	dlc	Embers of Rage 成就地点，里奇蛋收集处；裁决统一为“里奇巢穴”（任务/实体名译文曾作“里奇虫巢”）
Steam Quarry	蒸汽采石场	T.PN.PLACE	places	entity name	preferred	dlc	Embers of Rage 地点，地热阀所在；与“蒸汽商场”区分
Maj'Eyal	马基埃亚尔	T.PN.WORLD	places	_t	existing	core	
spellblaze	魔法大爆炸	T.PN.WORLD	places	effect subtype	existing	core	
Spellhunt	魔法狩猎	T.PN.WORLD	places	_t	preferred	global	黄昏纪对法师的迫害事件；与 Spellblaze“魔法大爆炸”区分
