source	target	category	domain	source_tag	status	scope	notes
The Arena	竞技场	T.NARRATIVE.ACHIEVEMENT	narrative	achievement name	existing	core	
Forbidden Cults	禁忌邪教	T.NARRATIVE.LORE	narrative	newLore category	existing	global	
ancient elven ruins	古代精灵废墟	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
ardhungol	阿尔德胡格	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
daikara	岱卡拉	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
derth	德斯镇	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
dogroth caldera	达格罗斯火山	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
dominion port	巨魔帝国港口	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	
dreamscape	梦境空间	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
fearscape	恶魔空间	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	
high peak	巅峰	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
infinite dungeon	无尽地下城	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
internment camp	兽人拘留营	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	
iron throne	钢铁王座	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
lake of nur	纳尔湖	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
last hope graveyard	最后的希望墓地	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
lost city	失落之城	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
old forest	古老森林	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
primal forest	原始森林	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
ruined dungeon	地城废墟	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
sandworm lair	沙虫巢穴	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
scintillating caves	闪光洞穴	T.NARRATIVE.LORE	narrative	newLore category	preferred	core	与地点名 Scintillating Caves 统一
slazish fens	斯拉伊什沼泽	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
slumbering caves	沉睡洞穴	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
steam quarry	蒸汽采石场	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	
sunwall	太阳堡垒	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
sunwall observatory	太阳堡垒瞭望台	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
temple of creation	造物者神庙	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
trollmire	巨魔沼泽	T.NARRATIVE.LORE	narrative	newLore category	preferred	core	与同类手札标题统一；troll 指巨魔，不是食人魔
valley of the moon	月之山谷	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
vaporous emporium	蒸汽商场	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	
var'eyal	瓦·埃亚尔	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
yeti's cave	雪人洞穴	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	
zigur	伊格	T.NARRATIVE.LORE	narrative	newLore category	existing	core	与大写地点 Zigur 的源码标签区分
shatur	夏特尔	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
rhaloren	罗兰精灵	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
kor'pul	卡·普尔	T.NARRATIVE.LORE	narrative	newLore category	existing	core	
orc prides	兽人部落	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	与地点/阵营名称按 source_tag 区分
spellblaze	魔法大爆炸	T.NARRATIVE.LORE	narrative	newLore category	existing	core	与世界事件的其他标签区分
Godslayer	弑神者	T.NARRATIVE.LORE	narrative	_t	preferred	core	夏·图尔弑神者称号；复数 Godslayers 同译
petty gods	伪神	T.NARRATIVE.LORE	narrative	_t	preferred	core	阿马克泰尔叙事中的贬称，与普通“众神”区分
age of allure	厄流纪	T.NARRATIVE.LORE	narrative	newLore category	preferred	core	既有时代专名，全仓相关叙事统一使用；不按普通词 allure 逐字翻译
age of pyre	烈火纪	T.NARRATIVE.LORE	narrative	newLore category	preferred	global	1.8beta 的统一译法；替换“派尔纪”
Ashes of Urh'Rok	乌鲁洛克之烬	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	Ashes of Urh'Rok 战役名称
kaltor's shop	卡托尔商店	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	Embers of Rage 地点手札类别
krimbul clan	克里布尔部族	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	Embers of Rage 地点手札类别
palace of fumes	烟雾宫殿	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	Embers of Rage 地点手札类别
pocket of distorted time	扭曲时间之隙	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	Embers of Rage 地点手札类别
ureslak's lair	乌瑞斯拉克的巢穴	T.NARRATIVE.LORE	narrative	newLore category	existing	dlc	Embers of Rage 地点手札类别
slaver	奴隶贩子	T.NARRATIVE.LORE	narrative	_t	preferred	core	鲜血之环语境中的奴隶贩子；与被奴役者 slave“奴隶”区分。entity name 标签下译文曾作“奴隶商”，裁决统一为“奴隶贩子”
slavers	奴隶贩子	T.NARRATIVE.LORE	narrative	_t	preferred	core	鲜血之环语境中的奴隶贩子复数；与被奴役者 slaves“奴隶”区分
Pyre Wars	烈火战争	T.NARRATIVE.LORE	narrative	_t	preferred	core	半身人与兽人之间的战争纪事；与“烈火纪”（age of pyre）一致，不写作“派尔大战”
